marketPk,eventPk,marketTitle,marketType,outcome,outcomeIndex,truePrice,spread,steps,toReturn,toLose,depthPercentages,seed
CAEAnakZy7wnyTv3NLRx41yFwDpGD4jpcrtZkxZ36PqJ,5814snnao7faqn3sovwdutQjc1pgWC2Kj5Rd8Zme2i25,Full Time Result,EventResultFullTime,Sassuolo,0,2,2,2,100,100,"100,75,50",FALSE
CAEAnakZy7wnyTv3NLRx41yFwDpGD4jpcrtZkxZ36PqJ,5814snnao7faqn3sovwdutQjc1pgWC2Kj5Rd8Zme2i25,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
CAEAnakZy7wnyTv3NLRx41yFwDpGD4jpcrtZkxZ36PqJ,5814snnao7faqn3sovwdutQjc1pgWC2Kj5Rd8Zme2i25,Full Time Result,EventResultFullTime,Empoli,2,2,2,2,100,100,"100,75,50",FALSE
DuaGuzroLzV9vHyhiaATkD5ppMqAM48wVnFV9EjtA4F2,5GXdYaR73rQ6tw8k59Bg2zzhi7SzEknAnQjLVHNDFLcc,Full Time Result,EventResultFullTime,Cremonese,0,2,2,2,100,100,"100,75,50",FALSE
DuaGuzroLzV9vHyhiaATkD5ppMqAM48wVnFV9EjtA4F2,5GXdYaR73rQ6tw8k59Bg2zzhi7SzEknAnQjLVHNDFLcc,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
DuaGuzroLzV9vHyhiaATkD5ppMqAM48wVnFV9EjtA4F2,5GXdYaR73rQ6tw8k59Bg2zzhi7SzEknAnQjLVHNDFLcc,Full Time Result,EventResultFullTime,Hellas Verona,2,2,2,2,100,100,"100,75,50",FALSE
4W7UZeax7LBqQWw9CPEwPij5EZW1thsBV4yHWTCWovmc,5UidH3DVbhTdpZE7dxcQpnQRPigg23cuGqymuWoiEefM,Full Time Result,EventResultFullTime,Spezia Calcio,0,2,2,2,100,100,"100,75,50",FALSE
4W7UZeax7LBqQWw9CPEwPij5EZW1thsBV4yHWTCWovmc,5UidH3DVbhTdpZE7dxcQpnQRPigg23cuGqymuWoiEefM,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
4W7UZeax7LBqQWw9CPEwPij5EZW1thsBV4yHWTCWovmc,5UidH3DVbhTdpZE7dxcQpnQRPigg23cuGqymuWoiEefM,Full Time Result,EventResultFullTime,Monza,2,2,2,2,100,100,"100,75,50",FALSE
6XyUSCEqCs1rNhZJKYcqf8xQf3jUjoqMt1EeQ3azYzTZ,6NyCZgGFzxjyQSL7DhpBodfzuRQhV5i4mtPsfdqxgA2F,Winner,EventResultWinner,Milwaukee Bucks,0,2,2,2,100,100,"100,75,50",FALSE
6XyUSCEqCs1rNhZJKYcqf8xQf3jUjoqMt1EeQ3azYzTZ,6NyCZgGFzxjyQSL7DhpBodfzuRQhV5i4mtPsfdqxgA2F,Winner,EventResultWinner,Miami Heat,1,2,2,2,100,100,"100,75,50",FALSE
iFkEWogRnWKxdsg1oLSr7gG5RGP4dv3RsPDuDuZwuZK,6VLvBfHUBYLcbEzPCEHKqfSEKpmFrEJWcgmZvivoxeua,Winner,EventResultWinner,Phoenix Suns,0,2,2,2,100,100,"100,75,50",FALSE
iFkEWogRnWKxdsg1oLSr7gG5RGP4dv3RsPDuDuZwuZK,6VLvBfHUBYLcbEzPCEHKqfSEKpmFrEJWcgmZvivoxeua,Winner,EventResultWinner,Los Angeles Clippers,1,2,2,2,100,100,"100,75,50",FALSE
8uPCRoJjAMLRkUfGJm7sgk8PyreFcp4r646439ufY9Nt,6XmdvYx2xUgMTXm9eSMKW6TXPLM3egXadETKKE7qyvfE,Full Time Result,EventResultFullTime,Juventus,0,2,2,2,100,100,"100,75,50",FALSE
